Country,Capital,Latitude,Longitude
Afghanistan,Kabul,34.52,69.18
Albania,Tirana,41.33,19.82
Algeria,Algiers,36.76,3.05
American Samoa,Pago Pago,-14.28,-170.7
Andorra,Andorra la Vella,42.5,1.52
Angola,Luanda,-8.84,13.23
Anguilla,The Valley,18.22,-63.05
Antigua and Barbuda,St. John's,17.12,-61.85
Argentina,Buenos Aires,-34.58,-58.41
Armenia,Yerevan,40.18,44.51
Aruba,Oranjestad,12.52,-70.03
Australia,Canberra,-35.28,149.13
Austria,Vienna,48.21,16.37
Azerbaijan,Baku,40.4,49.88
Bahamas,Nassau,25.08,-77.35
Bahrain,Manama,26.24,50.58
Bangladesh,Dhaka,23.72,90.41
Barbados,Bridgetown,13.1,-59.62
Belarus,Minsk,53.9,27.57
Belgium,Brussels,50.85,4.35
Belize,Belmopan,17.25,-88.77
Benin,Porto-Novo,6.48,2.62
Bermuda,Hamilton,32.29,-64.78
Bhutan,Thimphu,27.48,89.6
Bolivia,La Paz,-16.5,-68.15
Bosnia and Herzegovina,Sarajevo,43.85,18.38
Botswana,Gaborone,-24.65,25.91
Brazil,Bras?lia,-15.78,-47.93
British Indian Ocean Territory,Diego Garcia,7.24,72.46
British Virgin Islands,Road Town,18.42,-64.62
Brunei,Bandar Seri Begawan,4.88,114.93
Bulgaria,Sofia,42.7,23.32
Burkina Faso,Ouagadougou,12.37,-1.52
Burundi,Bujumbura,-3.38,29.36
Cambodia,Phnom Penh,11.55,104.92
Cameroon,Yaound?,3.87,11.52
Canada,Ottawa,45.42,-75.69
Cape Verde,Praia,14.92,-23.52
Cayman Islands,George Town,19.3,-81.38
Central African Republic,Bangui,4.37,18.58
Chad,N'Djamena,12.11,15.05
Chile,Santiago,-33.43,-70.57
China,Beijing,39.91,116.4
Christmas Island,Flying Fish Cove,-10.42,105.72
Cocos Islands,West Island,13.5,116.02
Colombia,Bogot?,4.6,-74.08
Comoros,Moroni,-11.7,43.24
Cook Islands,Avarua,-21.21,-159.78
Costa Rica,San Jos?,9.93,-84.08
Croatia,Zagreb,45.8,16
Cuba,Havana,23.13,-82.36
Cyprus,Nicosia,35.17,33.37
Czech Republic,Prague,50.09,14.42
Democratic Republic of the Congo,Kinshasa,-4.33,15.32
Denmark,Copenhagen,55.68,12.57
Djibouti,Djibouti,11.6,43.15
Dominica,Roseau,15.3,-61.4
Dominican Republic,Santo Domingo,18.47,-69.9
East Timor,Dili,-8.56,125.57
Ecuador,Quito,-0.22,-78.5
Egypt,Cairo,30.05,31.25
El Salvador,San Salvador,13.71,-89.2
Equatorial Guinea,Malabo,3.75,8.78
Eritrea,Asmara,15.33,38.93
Estonia,Tallinn,59.44,24.75
Ethiopia,Addis Ababa,9.03,38.7
Falkland Islands,Stanley,-51.7,-57.85
Faroe Islands,T?rshavn,62.02,-6.77
Fiji,Suva,-18.13,178.42
Finland,Helsinki,60.18,24.93
France,Paris,48.85,2.35
French Guiana,Cayenne,4.93,-52.33
French Polynesia,Papeete,-17.53,-149.57
French Southern Territories,Martin-de-Vivi?s,-37.8,77.51
Gabon,Libreville,0.38,9.45
Gambia,Banjul,13.46,-16.58
Georgia,Tbilisi,41.73,44.79
Germany,Berlin,52.52,13.4
Ghana,Accra,5.55,-0.22
Gibraltar,Gibraltar,36.13,-5.35
Greece,Athens,37.98,23.73
Greenland,Nuuk,64.17,-51.74
Grenada,St. George's,12.05,-61.75
Guadeloupe,Basse-Terre,16,-61.72
Guam,Hag?t?a,13.47,144.75
Guatemala,Guatemala City,14.62,-90.53
Guernsey,St Peter Port,49.46,-2.54
Guinea,Conakry,9.51,-13.71
Guinea-Bissau,Bissau,11.85,-15.58
Guyana,Georgetown,6.8,-58.17
Haiti,Port-au-Prince,18.54,-72.34
Honduras,Tegucigalpa,14.1,-87.22
Hong Kong,Hong Kong,22.28,114.15
Hungary,Budapest,47.5,19.08
Iceland,Reykjavik,64.15,-21.95
India,New Delhi,28.61,77.23
Indonesia,Jakarta,-6.17,106.83
Iran,Tehran,35.67,51.42
Iraq,Baghdad,33.34,44.39
Ireland,Dublin,53.33,-6.25
Isle of Man,Douglas,54.15,-4.48
Israel,Jerusalem,31.77,35.23
Italy,Rome,41.9,12.48
Ivory Coast,Yamoussoukro,6.82,-5.28
Jamaica,Kingston,18,-76.79
Japan,Tokyo,35.67,139.78
Jersey,Saint Helier,49.18,-2.1
Jordan,Amman,31.95,35.93
Kazakhstan,Astana,51.18,71.43
Kenya,Nairobi,-1.28,36.82
Kiribati,Tarawa,1.33,172.98
Kosovo,Pristina,42.67,21.17
Kuwait,Kuwait City,29.37,47.98
Kyrgyzstan,Bishkek,42.87,74.6
Laos,Vientiane,17.97,102.6
Latvia,Riga,56.95,24.1
Lebanon,Beirut,33.87,35.51
Lesotho,Maseru,-29.32,27.48
Liberia,Monrovia,6.31,-10.8
Libya,Tripolis,32.89,13.18
Liechtenstein,Vaduz,47.14,9.52
Lithuania,Vilnius,54.68,25.32
Luxembourg,Luxembourg,49.61,6.13
Macao,Macao,22.2,113.55
Macedonia,Skopje,42,21.43
Madagascar,Antananarivo,-18.92,47.52
Malawi,Lilongwe,-13.98,33.78
Malaysia,Kuala Lumpur,3.17,101.7
Maldives,Mal?,4.18,73.51
Mali,Bamako,12.65,-8
Malta,Valletta,35.9,14.51
Marshall Islands,Majuro,7.1,171.38
Martinique,Fort-de-France,14.6,-61.08
Mauritania,Nouakchott,18.12,-16.04
Mauritius,Port Louis,-20.16,57.5
Mayotte,Mamoutzou,-12.78,45.23
Mexico,Mexico City,19.43,-99.14
Micronesia,Palikir,6.92,158.15
Moldova,Chi?in?u,47.01,28.86
Monaco,Monaco,43.73,7.42
Mongolia,Ulan Bator,47.92,106.92
Montenegro,Podgorica,42.44,19.26
Montserrat,Plymouth,16.7,-62.22
Morocco,Rabat,34.02,-6.83
Mozambique,Maputo,-25.97,32.59
Myanmar,Yagyigon,16.81,96.16
Namibia,Windhoek,-22.57,17.08
Nauru,Yaren,-0.54,166.93
Nepal,Kathmandu,27.72,85.32
